Date of Complaint,Date of Closure,Street,City,State,ZIP,Cable Provider,Billing,Service,Internet,Telephone Answering Time,Reception,Construction,Marketing,Installation,Cable Service Availability,Cable Line Related,Telephone Service,Other,Type,Location
1/1/1998,1/5/1998,null Avenue,Gaithersburg,MD,20878,Comcast,,,,,,1,,,,,,,Complaint,"null Avenue
Gaithersburg, MD 20878"
1/3/1998,12/31/2000,SAFFRON LANE,SILVER SPRING,MD,20901,Cable/TV Montgomery,1,,,,1,,,,,,,,Complaint,"SAFFRON LANE
SILVER SPRING, MD 20901"
1/3/1998,12/31/2000,DRURY RD,SILVER SPRING,MD,20906,Comcast,,,,,,1,,,,,,,Complaint,"DRURY RD
SILVER SPRING, MD 20906"
1/6/1998,12/31/2000,"WOODMONT AVE., #401",BETHESDA,MD,20814,Cable/TV Montgomery,,,,,,,,,,,,,Complaint,"WOODMONT AVE., #401
BETHESDA, MD 20814"
1/6/1998,12/31/2000,"EAST WEST HWY, #616",SILVER SPRING,MD,20910,Cable/TV Montgomery,1,1,,,,,,,,,,,Complaint,"EAST WEST HWY, #616
SILVER SPRING, MD 20910"
1/8/1998,12/31/2000,QUINTANA DR,WEST BETHESDA,MD,20817,Cable/TV Montgomery,,1,,1,1,,,,,,,,Complaint,"QUINTANA DR
WEST BETHESDA, MD 20817"
1/9/1998,12/31/2000,GABLE RIDGE TR. #L,ROCKVILLE,MD,20850,Cable/TV Montgomery,1,1,,,,,,,,,,,Complaint,"GABLE RIDGE TR. #L
ROCKVILLE, MD 20850"
1/12/1998,12/31/2000,"WHITLEY PARK TR., #610",BETHESDA,MD,20814,Cable/TV Montgomery,,,,,1,,,,,,,,Complaint,"WHITLEY PARK TR., #610
BETHESDA, MD 20814"
1/13/1998,12/31/2000,FLOWER AVE,TAKOMA PARK,MD,20912,Cable/TV Montgomery,1,,,,,,,,,,,,Complaint,"FLOWER AVE
TAKOMA PARK, MD 20912"
1/15/1998,12/31/2000,SCOTTISH AUTUMN,GAITHERSBURG,MD,20878,Cable/TV Montgomery,1,,,,,,,,,,,,Complaint,"SCOTTISH AUTUMN
GAITHERSBURG, MD 20878"
1/20/1998,12/31/2000,TATTERSHALL CT,GERMANTOWN,MD,20874,Cable/TV Montgomery,,,,,,1,,,,,,,Complaint,"TATTERSHALL CT
GERMANTOWN, MD 20874"
1/20/1998,12/31/2000,DUBARRY LANE,BROOKEVILLE,MD,20833,Cable/TV Montgomery,,,,,,1,,,,,,,Complaint,"DUBARRY LANE
BROOKEVILLE, MD 20833"
1/21/1998,12/31/2000,EASLEY ST. #523,SILVER SPRING,MD,20910,Cable/TV Montgomery,,,,,,,,,,,,1,Complaint,"EASLEY ST. #523
SILVER SPRING, MD 20910"
1/21/1998,12/31/2000,SPATES HILL RD,POOLESVILLE,MD,20837,Cable/TV Montgomery,,,,,,,1,,,,,,Complaint,"SPATES HILL RD
POOLESVILLE, MD 20837"
1/27/1998,12/31/2000,HALESWORTH,POTOMAC,MD,20854,Cable/TV Montgomery,,,,,,,1,,,,,,Complaint,"HALESWORTH
POTOMAC, MD 20854"
1/30/1998,12/31/2000,GREAT ARBOR DRIVE,POTOMAC,MD,20854,Cable/TV Montgomery,,,,,,1,,,,,,,Complaint,"GREAT ARBOR DRIVE
POTOMAC, MD 20854"
2/2/1998,12/31/2000,LEBARON TR.,SILVER SPRING,MD,20902,Cable/TV Montgomery,,,,,,,,1,,,,,Complaint,"LEBARON TR.
SILVER SPRING, MD 20902"
2/2/1998,12/31/2000,BUEHLER RD,OLNEY,MD,20832,Cable/TV Montgomery,,,,,,,,1,,,,,Complaint,"BUEHLER RD
OLNEY, MD 20832"
2/3/1998,12/31/2000,ASTRODOME DR.,SILVER SPRING,MD,20906,Cable/TV Montgomery,,,,,,,,1,,,,,Complaint,"ASTRODOME DR.
SILVER SPRING, MD 20906"
2/4/1998,12/31/2000,CROSBY RD,SILVER SPRING,MD,20910,Cable/TV Montgomery,1,,,,,,,,,,,,Complaint,"CROSBY RD
SILVER SPRING, MD 20910"
2/5/1998,12/31/2000,,,MD,,Cable/TV Montgomery,1,,,,,,,,,,,,Complaint,"MD
(38.946466, -76.687282)"
2/5/1998,12/31/2000,JANUARY DR #101,SILVER SPRING,MD,20904,Cable/TV Montgomery,1,,,,,,,,,,,,Complaint,"JANUARY DR #101
SILVER SPRING, MD 20904"
2/5/1998,12/31/2000,HEWITT AVE. #302,SILVER SPRING,MD,20906,Cable/TV Montgomery,,,,1,,,,,,,,,Complaint,"HEWITT AVE. #302
SILVER SPRING, MD 20906"
2/6/1998,12/31/2000,"MILLSCHOICE RD., #4",GAITHERSBURG,MD,20886,Cable/TV Montgomery,,,,,,,,,,,,,Complaint,"MILLSCHOICE RD., #4
GAITHERSBURG, MD 20886"
2/6/1998,12/31/2000,EDGEWARE ST.,SILVER SPRING,MD,20905,Cable/TV Montgomery,,,,1,,,,,,,,,Complaint,"EDGEWARE ST.
SILVER SPRING, MD 20905"
2/11/1998,12/31/2000,BAY LEAF WAY,GERMANTOWN,MD,20874,Cable/TV Montgomery,,,,1,,,,1,,,,,Complaint,"BAY LEAF WAY
GERMANTOWN, MD 20874"
2/12/1998,12/31/2000,PO BOX 635,SILVER SPRING,MD,20918,Cable/TV Montgomery,1,,,,,,,,,,,1,Complaint,"PO BOX 635
SILVER SPRING, MD 20918"
2/17/1998,12/31/2000,CHESTNUT ST,GAITHERSBURG,MD,20877,Cable/TV Montgomery,1,,,,,,,,,,,,Complaint,"CHESTNUT ST
GAITHERSBURG, MD 20877"
2/18/1998,12/31/2000,CHESTER MILL TR,SILVER SPRING,MD,20906,Cable/TV Montgomery,1,,,1,,,,,,,,,Complaint,"CHESTER MILL TR
SILVER SPRING, MD 20906"
2/20/1998,12/31/2000,MALTA LANE,SILVER SPRING,MD,20901,Cable/TV Montgomery,1,,,,,,,,,,,,Complaint,"MALTA LANE
SILVER SPRING, MD 20901"
2/20/1998,12/31/2000,RAMSGATE RD,BETHESDA,MD,20816,Cable/TV Montgomery,1,,,,,,,,,,,1,Complaint,"RAMSGATE RD
BETHESDA, MD 20816"
2/24/1998,12/31/2000,NORTH BELGRADE RD,SILVER SPRING,MD,20902,Cable/TV Montgomery,1,,,,,,,,,,,,Complaint,"NORTH BELGRADE RD
SILVER SPRING, MD 20902"
2/24/1998,12/31/2000,"ROSEMARY HILLS DRIVE, #1",SILVER SPRING,MD,20910,Cable/TV Montgomery,,,,,,,,1,,,,,Complaint,"ROSEMARY HILLS DRIVE, #1
SILVER SPRING, MD 20910"
2/24/1998,12/31/2000,MOVED OUT OF AREA,,MD,,Cable/TV Montgomery,1,,,,,,,,,,,,Complaint,"MOVED OUT OF AREA, MD"
2/25/1998,12/31/2000,DUXFORD COURT,POTOMAC,MD,20854,Cable/TV Montgomery,1,,,,,,,1,,,,,Complaint,"DUXFORD COURT
POTOMAC, MD 20854"
2/26/1998,12/31/2000,WHITLEY PARK TR,BETHESDA,MD,20814,Cable/TV Montgomery,1,,,1,,,,,,,,,Complaint,"WHITLEY PARK TR
BETHESDA, MD 20814"
2/27/1998,12/31/2000,ALDERES GATE,POTOMAC,MD,20850,Cable/TV Montgomery,1,,,,,,,,,,,,Complaint,"ALDERES GATE
POTOMAC, MD 20850"
2/27/1998,12/31/2000,GERSHWIN WAY,SILVER SPRING,MD,20904,Cable/TV Montgomery,,,,,1,,,,,,,,Complaint,"GERSHWIN WAY
SILVER SPRING, MD 20904"
2/27/1998,12/31/2000,"FREYMAN DR, #203",CHEVY CHASE,MD,20815,Cable/TV Montgomery,,,,,,,,,,,,,Complaint,"FREYMAN DR, #203
CHEVY CHASE, MD 20815"
3/3/1998,12/31/2000,WELLINGTON DRIVE #210,CHEVY CHASE,MD,20815,Cable/TV Montgomery,1,,,,,,,,,,,,Complaint,"WELLINGTON DRIVE #210
CHEVY CHASE, MD 20815"
3/10/1998,12/31/2000,PINEY BRANCH RD #201,SILVER SPRING,MD,20903,Cable/TV Montgomery,,,,,,,,1,,,,,Complaint,"PINEY BRANCH RD #201
SILVER SPRING, MD 20903"
3/11/1998,12/31/2000,SANDELFOOT DRIVE,POTOMAC,MD,20854,Cable/TV Montgomery,,,,,,1,,,,,,,Complaint,"SANDELFOOT DRIVE
POTOMAC, MD 20854"
3/12/1998,12/31/2000,EASTERN AVENUE #C407,SILVER SPRING,MD,20910,Cable/TV Montgomery,1,,,,,,,1,,,,,Complaint,"EASTERN AVENUE #C407
SILVER SPRING, MD 20910"
3/12/1998,12/31/2000,THISTLEWOOD TERR,BURTONSVILLE,MD,20866,Cable/TV Montgomery,1,,,,,,,,,,,,Complaint,"THISTLEWOOD TERR
BURTONSVILLE, MD 20866"
3/17/1998,12/31/2000,LLEWELLYN FIELD RD.,OLNEY,MD,20832,Cable/TV Montgomery,,,,,,,1,,,,,,Complaint,"LLEWELLYN FIELD RD.
OLNEY, MD 20832"
3/17/1998,12/31/2000,VENDOME DR.,BETHESDA,MD,20817,Cable/TV Montgomery,,,,,1,,,,,,,,Complaint,"VENDOME DR.
BETHESDA, MD 20817"
3/18/1998,12/31/2000,NORTH POOKS HILL RD 1711N,BETHESDA,MD,20814,Cable/TV Montgomery,,,,,,,,1,,,,,Complaint,"NORTH POOKS HILL RD 1711N
BETHESDA, MD 20814"
3/19/1998,12/31/2000,WESTLAKE TER. #310,BETHESDA,MD,20817,Cable/TV Montgomery,,,,1,,,,,,,,,Complaint,"WESTLAKE TER. #310
BETHESDA, MD 20817"
3/24/1998,12/31/2000,MARIANNA DRIVE,ROCKVILLE,MD,20853,Cable/TV Montgomery,,,,,,,1,,,,,,Complaint,"MARIANNA DRIVE
ROCKVILLE, MD 20853"
3/24/1998,12/31/2000,GEREN RD,SILVER SPRING,MD,20901,Cable/TV Montgomery,,,,,,,,,,,,1,Complaint,"GEREN RD
SILVER SPRING, MD 20901"
3/25/1998,12/31/2000,BLUEFORD RD,KENSINGTON,MD,20895,Cable/TV Montgomery,,,,,,,,,,,,1,Complaint,"BLUEFORD RD
KENSINGTON, MD 20895"
3/25/1998,12/31/2000,BRAEBURN CT,BETHESDA,MD,20817,Cable/TV Montgomery,,,,,,,,1,,,,,Complaint,"BRAEBURN CT
BETHESDA, MD 20817"
3/26/1998,12/31/2000,GALLAGHER WAY,OLNEY,MD,20832,Cable/TV Montgomery,,,1,1,,,,,,,,,Complaint,"GALLAGHER WAY
OLNEY, MD 20832"
3/30/1998,12/31/2000,"CLOPPER ROAD, #B4",GAITHERSBURG,MD,20878,Cable/TV Montgomery,,,,,1,,,,,,,,Complaint,"CLOPPER ROAD, #B4
GAITHERSBURG, MD 20878"
4/2/1998,12/31/2000,WOODLAND AVE,TAKOMA PARK,MD,20912,Cable/TV Montgomery,1,,,,,,1,,,,,,Complaint,"WOODLAND AVE
TAKOMA PARK, MD 20912"
